lang,text
eng,"In September 2004, as part of the Continuum 12 artists series, an exhibit of her work opened in New York City and the George Gustav Heye Center of the National Museum of the American Indian. The exhibit included Blanket Stories, a sculpture made of two towers of wool blankets, with each stack sewn together with a central thread. She collected the blankets over several years, including many Hudson's Bay point blankets that were given to Native Americans in trade by the Hudson's Bay Company during the 19th century."
deu,"Im August findet in Zusammenarbeit mit Rabenau, Staufenberg und Lollar ein autofreier Sonntag im Lumdatal statt. Auch diese Veranstaltung erfreut sich großer Beliebtheit."
fra,"Smiřice (en allemand : Smirschitz) est une ville du district de Hradec Králové, dans la région de Hradec Králové, en République tchèque. Sa population s'élevait à 2 847 habitants en 2017."
fra,"La République connaîtra une série de morts et de renaissances, ainsi que de déménagements. En décembre 1875, Beaugrand relocalise son entreprise à Lowell afin, probablement, de faire le plein d’abonnés dans une agglomération qui n’a pas encore d'organe de presse de langue française. Ce séjour à Lowell est bref, car le journal est à nouveau publié à Fall River le 19 février 1876. Sa situation ayant toujours été précaire, La République doit cesser de paraître après son édition du 4 juillet 1876. Mais, le 9 septembre 1876, elle renaît, cette fois à Saint Louis, au Missouri, où s'établit pour quelque temps Beaugrand. À l’été 1877, le journal qui n'a réussi à convaincre que 400 abonnés doit mettre la clé sous la porte. Mais il ressurgit quelques mois plus tard, le 11 octobre 1877, à Fall River. C'est dans cette ville qu'il achèvera son existence, le 9 mars 1878."
spa,"Antonio envió a Cleopatra un esclavo (Aún invirtiendo el orden de los complementos, su función sintáctica sigue siendo evidente gracias al valor distintivo de la preposición)"
deu,"McGoohan wurde in Astoria, Queens, New York City als Sohn des irischen Paars Thomas McGoohan und Rose Fitzpatrick geboren. Die Eltern gingen in die Heimat zurück, um Arbeit zu finden. Sieben Jahre nach dem Umzug nach Mullaghmore, County Leitrim, Irland, zogen sie nach Sheffield, England.McGoohan besuchte die St Vincent's School in Sheffield. Während des Zweiten Weltkrieges wurde die Familie nach Loughborough, Leicestershire evakuiert. Hier besuchte er das Ratcliffe College."
ita,"La città di Nieuw Amsterdam passò nel 1664 sotto il dominio inglese e venne ribattezzata New York in onore di Giacomo II, Duca di York e Albany. La dominazione inglese durò (a parte una breve parentesi nuovamente sotto gli olandesi fra il 1673 e il 1674) fino all'ottenimento dell'indipendenza delle colonie, che segnò la data di nascita degli Stati Uniti d'America; questo periodo, lungo poco più di un secolo, vide un notevole sviluppo della città, che divenne un importante porto commerciale e registrò un notevole incremento della sua popolazione di origine europea, al contrario di quella indigena che declinava costantemente. Di pari passo la città venne interessata da un consistente avanzamento culturale, con la fondazione del King's College, che sarebbe divenuto più tardi la Columbia University, e lo sviluppo di un ampio dibattito intorno al principio della libertà di stampa. Non mancarono tuttavia momenti di tensione, come alcune ribellioni degli schiavi afroamericani nel 1712 e nel 1741, che si conclusero con numerose vittime e altrettanto numerose condanne a morte."
pol,"Po drugiej wojnie światowej, w 1945 roku powierzchnia nadleśnictwa wynosiła 8 134 ha i składała się z lasów państwowych (6 448 ha) i niepaństwowych (1 686 ha)."
pol,Zamek w Rogowie Opolskim – renesansowy zamek (obecnie pałac) zbudowany w XVI wieku przez ród Rogoyskich. Najstarszą część stanowią dwa renesansowe skrzydła mieszkalne z narożną basztą. Aktualnie znajduje się na terenie Rogowa Opolskiego.
deu,David B. Levy: The making of the Encyclopaedia Judaica and the Jewish Encyclopedia. In: Proceedings of the 37th Annual Convention of the Association of Jewish Libraries Denver 2002 (Digitalisat).
por,"São marcas da característica gastronomia da região barrosã de Boticas, o presunto, a truta recheada de Boticas, o fumeiro e a vitela barrosã."
por,"Crépey é uma comuna francesa na região administrativa de Grande Leste, no departamento de Meurthe-et-Moselle. Estende-se por uma área de 20,9 km². Em 2010 a comuna tinha 348 habitantes (densidade: 16,7 hab./km²)."
por,"O Club Atlético Colón é um clube argentino de futebol. Sua sede fica na cidade de Santa Fe, capital da Provincia de Santa Fe. A equipe disputa a Primera División Argentina."
ita,"Il progetto originale di ""Elvengamello"", ideato e prodotto nel '97 (con la partecipazione, tra gli altri, del regista Pupi Avati, dell'attore Philippe Leroy, del produttore cinematografico Walter Saxer e del compositore Salvatore Sciarrino) è il primo della serie."
nld,"Zij voorzien toegang tot de fundamentele bronnen die voor een Windowssysteem beschikbaar zijn. Enkele voorbeelden zijn bestandssystemen, hardware, processen, threads of error handling. Deze functies bevinden zich in de bestanden kernel.exe, krnl286.exe of krnl386.exe voor een 16 bit-Windows, en het bestand kernel32.dll op 32 bit-Windowsversies."
deu,Theorie und Praxis der Sozialpädagogik (TPS) ist eine der ältesten deutschen Fachzeitschriften auf dem Gebiet der Sozialpädagogik-arbeit und Jugendhilfe.
nld,De Spelen werden georganiseerd door het London Organising Committee of the Olympic Games and Paralympic Games (LOCOG). De realisatie van de sportaccommodaties en de infrastructuur wordt verzorgd door de Olympic Delivery Authority.
fra,"La SLR, développée avec Mercedes en l’honneur du modèle automobile du même nom et disponible en mouvements purement mécaniques (Calibre 17) et électromécanique (calibre S) ;"
nld,Lehaucourt is een gemeente in het Franse departement Aisne (regio Hauts-de-France) en telt 832 inwoners (1999). De plaats maakt deel uit van het arrondissement Saint-Quentin.
spa,"Alexandru Segal, con sólo doce años de edad, ya se clasificó entre los jugadores de ajedrez de clase mundial en Rumania, convirtiéndose en campeón de la juventud después Europeo Sub-26. En 1968 se ha ganado el campeón universitario. Participó en las finales nacionales y representó a Brasil en varios eventos internacionales. Ganó io Gran Maestro alemán Robert Hübner y señaló con el Gran Maestro húngaro Zoltán Ribli, el ganador del Interzonal de Las Palmas."
pol,"W wyborach w 2005 i 2007 bez powodzenia kandydował do Sejmu. W latach 2006–2010 był radnym sejmiku małopolskiego, nie uzyskał następnie reelekcji."
ita,"Nel 1819 escono anche la fiaba Il piccolo Zaccheo detto Cinabro (presso l'editore Ferdinand Dümmler) e Le curiose pene di un capocomico; quest'ultimo, assieme ad altri sei racconti della serie Kreisleriana, entrerà a far parte della seconda edizione dei Racconti fantastici alla maniera di Callot. Hoffmann, intanto, è nominato membro della commissione di controllo delle attività sovversive e prende le difese del Turnvater Jahn, contro le accuse del capo della polizia von Kamptz. Questo episodio, insieme ad altri casi di ingiustizie perpetrate a danno di studenti e contestatori dei quali Hoffmann fu testimone, porteranno lo scrittore a dimettersi dalla commissione e segneranno l'inizio della sua rottura con il sistema burocratico prussiano, del cui apparato poliziesco egli traccerà una sua personale rappresentazione letteraria nel successivo (e in parte censurato) Mastro Pulce."
spa,"El 7 de febrero de 1962 se integró un pequeño grupo de jóvenes rebeldes dirigidos por los Yon Sosa y Turcios Lima, junto con César Montes,[4]​ creando el Movimiento Revolucionario Trece de Noviembre (MR-13); entre sus miembros aparece también Pablo Monsanto,[5]​ quien también era conocido por el sobrenombre de «Manzana». El grupo abrió así un nuevo tipo de lucha política en el país al formar el Movimiento Revolucionario Trece de Noviembre (MR-13) con el fin de derrocar al gobierno por medio de las armas; para ello contactaron con los grupos políticos, en especial con el PGT, para establecer alianzas. La crisis política continuó y el gobierno abrió muchos flancos, iniciándose así la lucha guerrillera en Guatemala.[3]​"
por,"Faleceu no dia 6 de Setembro de 1990, vitíma de tuberculose e insuficiência respiratória agravadas pelo vírus da AIDS, o qual Tom havia contraído através de uma transfusão de sangue. Os irmãos nunca mais conversaram, mesmo Tom estando em leito de morte. O corpo de Tom foi cremado e suas cinzas espalhadas em Half Moon Bay, Califórnia no Estados Unidos."
nld,"In Delft herbouwde hij het in 1618 afgebrande Delftse stadhuis, waarvan alleen de middeleeuwse toren was overgebleven. Dit is een mooi voorbeeld van de Hollandse renaissancestijl. Ook de hervormde kerk in Middenbeemster in de toen net leeggemalen droogmakerij de Beemster is van De Keyser. In Deventer stond de Bergpoort waar De Keyser ook nog aan meegewerkt zou hebben. Deze poort staat tegenwoordig in de tuin van het Rijksmuseum in Amsterdam."
eng,"She joined the board of Carlson in 1973. After her father's death in 1999, she took over as CEO. She shares ownership of the company with her sister Barbara Carlson Gage."
por,"Embora esta classificação não seja unânime, algumas normalmente são classificadas como de primeira ordem: estas incluem a cruz, a faixa, a pala, a banda e a aspa, soter ou sautor."
eng,"Budyonnovsky (Russian: Будённовский; masculine), Budyonnovskaya (Будённовская; feminine), or Budyonnovskoye (Будённовское; neuter) is the name of several rural localities in Russia:"
deu,"Kleinschönbach ist eine Wüstung auf der Gemarkung der unterfränkischen Stadt Prichsenstadt. Der Weiler war bis ins 15. Jahrhundert besiedelt, ehe die Bevölkerung in die nahegelegene Stadt umsiedelte. Der Grund war wohl eine Zerstörung des Dorfes."
por,"Oriunda da primeira comunidade alemã do Brasil, Jacobina liderava uma seita religiosa cristã e fanática, cujos membros não bebiam, não fumavam e não usavam moeda como meio de troca comercial. Ganharam a alcunha de ""mucker"", termo alemão que pode significar santarrão, beato ou fanático religioso. Eles encontraram no sectarismo e no fanatismo religioso uma resposta para a pobreza em que viviam."
eng,"Hearst reported ""I spent fifteen hours going over my SLA experiences with Dr. Robert Jay Lifton of Yale University. Dr. Lifton, author of several books on coercive persuasion and thought reform, ... pronounced me a 'classic case' which met all the psychological criteria of a coerced prisoner of war. ... If I had reacted differently, that would have been suspect, he said."""
eng,"In a November 2014 interview, Page stated that he prioritized the maintenance of his ""deep knowledge"" of Google's products and breadth of projects, as it had been a key motivating factor for team members. In relation to his then role as the company's CEO, Page said: ""I think my job as CEO—I feel like it’s always to be pushing people ahead."""
fra,"Ilana Salama Ortar est née à Alexandrie en Égypte en 1949. Sa famille, descendante de Juifs expulsés d'Espagne lors de l'Inquisition, parcourut l'Europe avant de s'installer à Hébron. Dans les années 1850, la mauvaise situation économique en Palestine les obligea à émigrer à Alexandrie. Forcés de quitter l'Égypte en 1952 avec un laissez-passer, Ilana Salama Ortar et ses parents partirent à Haïfa en Israël. Ils passèrent par le camp de transit du Grand Arénas près de Marseille. Elle a étudié l'histoire de l'art et la littérature française à l'Université Hébraïque de Jérusalem et obtenu son diplôme de maîtrise en 1986. En 2008, elle a reçu son doctorat à l'Université de Roehampton, Londres, Angleterre, avec une thèse sur le sujet: « Art de la Performance Civique et Architecture d'Urgence ». Entre 1975 et 1988, elle a été commissaire d'exposition à la galerie d'art de l'Université de Haïfa. Entre 1996 et 2011, elle a enseigné dans les institutions suivantes: École de Communication du Collège Académique Sapir (en) à Sderot, École du Cinéma de Tel Haï, Collège Académique de Tel Haï (en), et Institut de Technologie de Holon (en). Entre 2008 et 2011, elle a occupé la fonction de Directeur pour les Arts Visuels dans le Département pour les Arts Visuels, Littérature et Musique du Collège Académique de Safed (he). Elle a été professeur invité à l'École des Beaux Arts de Lyon en 1999-2000, l'École des Beaux Arts de Montpellier en 2007, et l'École des Beaux Arts de Marseille en 2012-2013. Elle a été chercheur associé LAMES à l'Université d'Aix-Marseilles (AMU), la Maison des Sciences de l'Homme (MMSH) et IMéRA, Aix-Marseilles en 2015. Elle a donné de nombreuses conférences et animé des ateliers artistiques en France, aux États-Unis, en Angleterre, Israël et Palestine."
eng,"Woodruff produced this album in the same way he produced the five previous albums . The 14-track album includes collaborations with Eric Rachmany of Rebelution, Slightly Stoopid, KBong, and Collie Buddz."
fra,"Traces Urbaines est un ensemble de peintures, travaux sur papier et photographies (photogrammes) qui traite de l'effacement des mémoires dans l'espace urbain. Par son travail sur la matérialité de la toile (grattage, ré-écriture), Ilana Salama Ortar reflète les phases de construction et re-construction de la ville, le processus de sédimentation par lequel les identités successives de la ville s'inscrivent dans des éléments matériels et immatériels. Berlin Diary est sa dernière série en date. Traces Urbaines a été exposé en Israël (Université de Haïfa, Musée d'Art de Tel Aviv, Maison des Artistes à Jérusalem (en)), en France (Galerie Renos Xippas à Paris), aux États-Unis (Marge Goldwater Gallery et Drawing Center SoHo à New York) et aux Pays-Bas (Forum Gallery à Amsterdam)."
fra,"Une autre possibilité est à l'étude. Vers 1440, Jean de Billy, seigneur de Mauregard (Seine-et-Marne) et de Roissy en partie épouse Marguerite d’Orgemont. Cette femme est la petite-fille de Jeanne Gentien dit « La Gentienne » et de Arnold Boucher. Nicole Hennequin, épouse de Jean-Jacques de Mesmes, seigneur de Roissy et Jeanne Hennequin épouse de son fils Henri sont issues également de cette branche,."
por,"Rozas de Puerto Real é um município da Espanha na província e comunidade autónoma de Madrid, de área 30,16 km² com população de 354 habitantes (2004) e densidade populacional de 11,74 hab/km²."
deu,"Außerdem findet in Rättvik das Classic Car Week-Festival statt - eines der zwei größten, über die Landesgrenzen hinweg bekannten Automobilfestivals, welches während der Veranstaltungswoche (immer um die 31. Kalenderwoche) täglich zwischen 25.000 und 30.000 Automobilenthusiasten aber auch Technik- und Nostalgiefans nach Rättvik lockt."
pol,"W pierwszych dniach eksploatacji linii najpopularniejszą stacją była praska stacja końcowa Dworzec Wileński, druga była stacja przesiadkowa Świętokrzyska, natomiast trzecią najczęściej używaną była wolska stacja końcowa Rondo Daszyńskiego. Najrzadziej wybieranym przystankiem była stacja Centrum Nauki Kopernik."
pol,"15 listopada 2010 wykonawca wszedł na teren budowy szybu startowego na stacji Powiśle, a w następnym miesiącu wykonano wstępny wykop tego szybu. W marcu 2011 rozpoczęto prace przy wykopie wstępnym stacji."
deu,"Dramatis personae sind die vier Stimmen A, B,C und M, zu deren Identitäten Kane keine weitere Information gibt. In Interviews führte sie allerdings die Bezeichnung der Figuren aus; dabei steht A für Autor oder auch Aleister Crowley, Antichrist und Arschloch, B für Boy, also Junge, M für Mother/Mutter und C für Child/Kind. Im Stück bleibt offen, ob tatsächlich vier verschiedene Personen oder z. B. die Gedanken nur einer Person sprechen. Sie thematisieren in oft nicht zusammenhängenden Sätzen die Liebe und ihre Begierden und Sehnsüchte. Kanes Sprache erlebt eine sehr dichte Bildhaftigkeit und Poesie. Auch sind autobiographische Züge zu erkennen - die sehr detaillierte Liebeserklärung von A an eine nicht benannte Person ist voller Einzelheiten und Begebenheiten, die den Eindruck der Wahrhaftigkeit erwecken. Alle Stimmen artikulieren ihre jeweiligen starken Begierden nach Lösung und Rettung - dabei bleibt offen, ob diese durch Liebe oder durch den Tod erfolgen können. Das Stück endet mit einem Sturz ins Licht, der dementsprechend die Erfüllung der Begierde nach Liebe wie nach Tod sein kann."
eng,"Marilyn Carlson Nelson (born 19 August 1939) is an American businesswoman, the co-owner of Carlson, a hotel and travel company, and its former chairman and CEO."
nld,"In 2013 werden Adrian Lulgjuraj & Bledar Sejko afgevaardigd naar het festival. Met het nummer Identitet haalde Albanië de finale niet. In 2014 slaagde ook zangeres Hersi er niet in om kwalificatie voor de finale af te dwingen. In 2015 sleepte Albanië wel een finaleplaats in de wacht met Elhaida Dani. Haar lied I'm alive eindigde uiteindelijk op de zeventiende plaats. In 2016 vertegenwoordigde Eneda Tarifa Albanië in Stockholm, met Fairytale. Het lied haalde in de halve finale de 16de plaats, onvoldoende voor een plaats in de finale. Ook in 2017 kon Albanië zich met Lindita niet plaatsen."
deu,Es gab zwei Untersuchungsausschüsse; 1 Konstituierung des Verteidigungsausschuss als Untersuchungsausschuss1. Untersuchungsausschuss Fibag (1962)
spa,"Después del ingreso del 3 de noviembre de 1964 al Presidente de Chile, las relaciones se restablecieron el 24 de noviembre de 1964, Y no fue hasta 1967 que los tratados bilaterales fueron firmados por los dos estados.[1]​[4]​ La victoria de Salvador Allende en las elecciones presidenciales chilenas de 1970 dio a la Unión Soviética la oportunidad de estrechar lazos con Chile. La victoria del partido político de Allende, de la coalición de Socialistas Socialistas, comunistas y de diversos partidos de izquierda, demostró que tal vez el gobierno de Chile era Ideológicamente y políticamente más cerca de la Unión Soviética que cualquier otro país sudamericano. Sin embargo, la Unión Soviética vaciló en asumir la carga para garantizar el éxito del experimento chileno. Económicamente, la ayuda soviética llegó en forma de créditos a largo plazo, que representaban menos de 350 millones de dólares, con una cantidad limitada de ayuda en forma de moneda fuerte. El gobierno de Allende necesitaba más ayuda financiera, no proyectos conjuntos en pesca y vivienda, para resolver problemas de balanza de pagos. Aunque el comercio bilateral entre los dos países se expandió y diversificó, todavía era mucho más bajo que los niveles de comercio entre la Unión Soviética y otros países sudamericanos. Por último, la Unión Soviética ofreció algunas formas de asistencia técnica para la construcción de fábricas, la producción de petróleo y para operar la nacionalización chilena del cobre, minas de cobre nacionalizadas. Los limitados niveles de asistencia económica de la Unión Soviética en Chile muestran la clara vacilación soviética hacia incurrir en enormes cargas económicas.[3]​ Los soviéticos ya habían visto los inmensos costos asociados con el apoyo a un gobierno comunista en el hemisferio occidental después de su apoyo a Fidel Castro y su gobierno en Cuba después de 1959. A comienzos de los años setenta, la Unión Soviética había comenzado a practicar una distensión con Estados Unidos y un mayor apoyo al gobierno de Allende podría poner en peligro la frágil relación entre Estados Unidos y la Unión Soviética. La Unión Soviética estaba cada vez más reacia a permitir que el proceso revolucionario chileno destruyera su nueva distensión con los Estados Unidos.[5]​ La Unión Soviética también se ocupó de problemas económicos propios que disuadieron aún más el aumento de la asistencia económica a Chile. A partir de mayo de 1972, los líderes de la URSS empezaron a ver a Chile como un ejemplo de lo que podía salir mal en un proceso revolucionario, en lugar de una buena inversión en la batalla global contra el capitalismo cuando el gobierno de Allende perdió apoyo popular y la economía chilena permaneció en un parada.[6]​ Del mismo modo, la Unión Soviética practicaba el pragmatismo en sus relaciones políticas con Chile. A lo sumo, la Unión Soviética sólo demostró apoyo moral y propagandístico a Chile en lugar de una política más tangible.[3]​"
spa,"Al inicio de su carrera era antimonárquico y liberal, e hizo duras críticas a los gobiernos conservadores de la década de 1870. A partir de la posterior división de la política brasileña entre republicanos y monárquicos, se alió a los defensores de la monarquía. En 1862 fue electo diputado provincial por Río Grande del Sur y en 1865 fundó en Porto Alegre el diario A Reforma. Este diario, después trasladado a Río de Janeiro, fue el órgano oficial de los federalistas gaúchos. En 1872 asumió como diputado general. En 1873 dimitió, pocos meses después de asumir el Ministerio de Hacienda, por no aceptar un proyecto del gobierno que proscribía de los cargos públicos a los ciudadanos no católicos. En 1880 fue elegido senador mientras que en su tierra natal enfrentaba una dura competencia política por parte de Júlio de Castilhos, su histórico adversario."
fra,"La deuxième des Trois Gorges est celle de Wu. Elle est longue de quarante-cinq kilomètres et offre un paysage composé de douze pics qui ont depuis toujours inspiré les voyageurs et les poètes. Leurs noms évoquent les sentiments qu'ils inspirent puisqu'on trouve le pic de la Déesse, le pic du Phénix volant, le pic du Dragon grimpeur ou encore le pic des Grues assemblées. Les versants de la gorge sont parfois si abrupts qu'ils donnent l'impression que le soleil ne pénètre que rarement jusqu'au fleuve. Après le rocher du Cercueil de fer, le voyageur découvre les rapides de Lint lors de la descente desquels des tourbillons puissants et des piliers calcaires rendent toute navigation périlleuse."
eng,"At Celtic Connections 2013, Lee further expanded her musical range, playing at the Old Fruitmarket, Glasgow, with India Alba alongside two classical Indian musicians, Gyan Singh and Sharat Chandra Srivastava and two Scottish musicians; virtuoso on pipes and whistles, Ross Ainslie and renowned instrument maker and performer Nigel Richard. After playing as a guest in the band's line-up at both the Solas and Insider Music Festivals in June 2013, Su-a agreed to a permanent position with the band."
fra,"Aux Gelosi succédèrent, vers 1614, les Comici Fedeli, qui se rendirent à Paris sur l’invitation de Marie de Médicis. Ils y revinrent en 1621 et en 1624. Puis un des leurs, Nicolo Barbieri dit Beltrame, forma une nouvelle troupe qui séjourna à Paris, et dont Molière enfant suivit les représentations. Puis, rivaux de Molière, on vit les comédiens italiens du Roi, dirigés par l'Arlequin Dominique : Domenico Biancolelli ; celui-ci fut reçu par Louis XIV, qui l'appréciait beaucoup."
por,"A decisão de 1977 entre Ponte Preta e Fluminense foi marcada por duas peculiaridades: foi a primeira vez que uma final da Copinha era disputada no Estádio do Morumbi e o jogo serviu também como preliminar do amistoso internacional entre Brasil e Bulgária, que foi vencido pela Seleção Brasileira por 1 a 0."
fra,"Depuis janvier 2015, l'investigatrice principale (principal investigator) de la branche de l'Institut SETI est la franco-américaine Nathalie Cabrol."
nld,"In 2011 maakte Lourens haar debuut in de dancewereld, waarin ze als dj werkt. Sinds 2013 is ze resident DJ in de Amsterdamse Club NYX, waar ze in 2014 ook onderdeel is van het concept 'The House of NYX' waarmee ze op festivals zoals House of Bad Habits en Valtifest draait. Naast haar werk als dj is ze ook werkzaam als producer en remixt ze nummers van andere artiesten. In 2013 opende Lourens samen met haar zakenpartner FL-Agency een boekingskantoor voor dj's. In 2014 reisde Lourens als hoofdact mee met de zomertoer van reisorganisatie Beachmasters en draaide ze in het Rotterdamse stadion De Kuip tijdens het event Cinema. In juli 2016 ontving zij voor haar track ""Squat"" een gouden plaat."
fra,"Victime d'entartages multiples à Namur le 30 mai 2015 ; cette fois, Bernard-Henri Levy a été attaqué dans une église. Une vingtaine de personnes lui ont lancé des tartes malgré la présence de ses deux gardes du corps, BHL criant « Non, y en a marre ! », n'a pas pu y échapper. Noël Godin a dédié son geste au dessinateur Siné, limogé de Charlie Hebdo et contre lequel BHL a témoigné,."
pol,1905 – austriacki lekarz okulista Eduard Zirm przeprowadził w miejscowym szpitalu pierwszą w świecie udaną operację przeszczepienia rogówki.
por,"Após a rendição de Minorca, muitos oficiais republicanos no continente acreditavam que seria aconselhavel negociar um acordo com os nacionalistas, e começaram a planejar um golpe contra o governo de Juan Negrín."
deu,In Deutschland wird die Serie seit dem 2. Januar 2011 immer sonntags auf Sat.1 ausgestrahlt. Seit dem 13. März ist sie immer in der Nacht von Sonntag auf Montag gegen ein Uhr zu sehen.
fra,"En application du schéma départemental de coopération intercommunale, elle fusionne le 1er janvier 2017 avec la communauté de communes Bourbre-Tisserands, la communauté de communes de la Vallée de l'Hien et la communauté de communes Les Vallons du Guiers pour créer la Communauté de communes Les Vals du Dauphiné."
fra,"Stegersbach est une commune autrichienne du district de Güssing dans le Burgenland. Le nom hongrois de la commune est Szentelek, le nom croate Santalek, le nom romani Schtega."
pol,"W Londynie cztery lata później wystąpił w tych samych zawodach. W indywidualnych dotarł do półfinału gdzie ponownie przegrał ze swoim rodakiem Dirceu Pinto. W meczu o brązowy medal pokonał jednak Brytyjczyka Stephena McGuire'a. Wraz ze swoim rodakiem zdobył drugie złoto paraolimpijskie w zawodach par, gdzie Brazylijczycy wygrali wszystkie spotkania."
nld,"Atkins hield toezicht op een team van mensen die aan meerdere boekprojecten werkten, inclusief een nieuw boek waarin naar voren wordt gebracht hoe de Atkins-voedingsmethode van belang zou zijn bij het indammen van diabetes. Vanwege zijn overtuiging dat obesitas (overgewicht) en diabetes samen één epidemie zijn, was Atkins van plan om in de volgende jaren een groot deel van zijn tijd te besteden aan het uitdagen van de conventionele kennis over diabetespreventie en -verzorging, zoals hij dat ook voor obesitas had gedaan. Dit nieuwe boek, is op verzoek van zijn weduwe Veronica, voltooid en postuum verschenen onder de titel Atkins Diabetes Revolution."
por,"O tufão Melor formou-se de uma área de perturbações meteorológicas que persistia a cerca de 500 km a sul do Atol de Kwajalein, Ilhas Marshall, começou a mostrar sinais de organização em 27 de setembro. Inicialmente, a perturbação estava dotada de áreas fragmentadas de convecção profunda, que estavam começando a girar em torno de um centro ciclônico de baixos níveis mal definido, mas em processo de consolidação. No dia seguinte, a perturbação continuou a se organizar com a melhora dos fluxos de saída de altos níveis, auxiliados pela formação de um anticiclone de altos níveis. Além disso, a perturbação, que estava embebida num cavado de monção, era favorecida pelas boas condições meteorológicas para o seu desenvolvimento, como o baixo cisalhamento do vento. Ainda naquela noite, o Joint Typhoon Warning Center (JTWC), órgão da Marinha dos Estados Unidos responsável pela monitoração de ciclones tropicais, emitiu um Alerta de Formação de Ciclone Tropical (AFCT) sobre o sistema, com base na contínua consolidação de sua circulação ciclônica de baixos níveis e na formação de novas áreas de convecção profunda. O alerta significava que a perturbação poderia se tornar um ciclone tropical significativo dentro de um período de 12 a 24 horas. No início da madrugada (UTC) de 29 de setembro, a Agência Meteorológica do Japão (AMJ) classificou o sistema para uma depressão tropical fraca, e para uma depressão tropical plena horas depois, baseado na contínua consolidação do sistema. Ainda naquela manhã, o JTWC classificou a perturbação para uma depressão tropical, e lhe atribuiu a designação ""20W"", com base na contínua consolidação do seu centro ciclônico de baixos níveis. Além disso, a depressão já estava dotada de um pequeno centro denso nublado e situada numa região com excelentes condições meteorológicas, como baixo cisalhamento do vento e águas oceânicas quentes."
pol,"Nadleśnictwo Międzychód – nadleśnictwo należące do Regionalnej Dyrekcji Lasów Państwowych w Szczecinie, położone w województwie lubuskim – 61,2%, w powiatach międzyrzeckim i strzelecko-drezdeneckim oraz w województwie wielkopolskim – 38,8%, w powiecie międzychodzkim; obejmuje południowo-zachodnią część Puszczy Noteckiej oraz kompleksy leśne na południe od rzeki Warty."
pol,"Studio Radioaktywni – studio nagraniowe, działające od 1995 roku w Blachowni. Ma na swoim koncie udział przy powstaniu ponad 100 albumów oraz kilku produkcji filmowych i teatralnych. Właścicielami studia są Adam Celiński – realizator nagrań, producent i muzyk oraz Leszek Mitman – menedżer, producent i muzyk."
pol,"7 marca 2013 Rada m.st. Warszawy uchwaliła ostatecznie nazwy stacji odcinka, 13 marca praskie tarcze nazwano Krystyna i Elisabetta, natomiast 7 maja termin realizacji inwestycji przesunięto z IV kwartału 2013 na 30 września 2014."
deu,"Haus Pestalozzistraße 4 (1900), sandsteingegliederter Backsteinbau aus dem späten 19. Jahrhundert, doppelgeschossiger Wintergarten, von Valentin Braunbeck"
pol,Przed wybuchem I wojny światowej zdołano ukończyć tylko jeden egzemplarz działa M.14 (drugi był właśnie produkowany). Został zainstalowany w położonej nad Adriatykiem twierdzy Pula. Zgodnie z projektem został on umieszczony na betonowej platformie i przykryty lekką kopułą pancerną.
deu,"2011/12: 1. Rang → Aufstieg in die 1. Liga Classic1. Liga Classic, Gruppe 2 2012/13: 2. Rang → Aufstieg in die 1. Liga Promotion nach erfolgreichen Play-Offs gegen FC Zug 94 und US Terre SaintePromotion League 2013/14: 4. Rang"
deu,"Seit 2005 ist Bier nach Lehraufträgen und Gastprofessuren an der Hochschule für Bildende Künste Braunschweig, den Fachhochschulen Hannover und Niederrhein/Krefeld sowie der Hochschule der Künste in Bremen als Professor für Allgemeine künstlerische Ausbildung an der Staatlichen Akademie der Bildenden Künste Stuttgart tätig."
nld,"Michael Hall D'Addario als Josh Alan Davis, Frankies elfjarige zoontje. Hij is intelligent maar rebels, heeft geen vrienden en maakt keer op keer problemen op school."
fra,"Le projet traite de la Tour des Prophètes, un centre commercial moderne en verre et métal construit en 1979 sur l'emplacement de la Villa Khury à Wadi Nisnas (en), un site emblématique de la résistance arabe pendant la guerre de 1948. Il rend visibles les strates de mémoire de la ville et amène la population mixte de Haïfa à communiquer sur le sujet. Le projet est élaboré sur la base de témoignages recueillis au travers de questionnaires et d'interviews, et activé par le biais d'installations et de performances dans le centre ville de Haïfa,."
fra,"la personne recrutée de cette façon connaît l'entreprise et est opérationnelle beaucoup plus rapidement (y compris s'il s'agit d'un stagiaire, intérimaire ou consultant externe)."
eng,"On October 27, 2011, it was announced that Kennedy had been diagnosed with early-stage Parkinson's Disease and would be leaving the team to undergo treatment. Kennedy said he planned to return following treatment and temporarily put Associate Coach Glynn Cyprien in charge of the team."
nld,De Raad van State geeft U in overweging het voorstel van wet niet te zenden aan de Tweede Kamer der Staten-Generaal dan nadat met het vorenstaande rekening zal zijn gehouden.
nld,"Twaalf jaar later, bij het WK 2002 in Japan en Zuid-Korea, won Costa Rica van China (2-0), speelde de ploeg gelijk tegen Turkije (1-1) en werd verloren van Brazilië (2-5). Door deze nederlaag ging Turkije verder op doelsaldo, om vervolgens door te stoten naar de halve finale. De voortijdig gestrande selectie stond destijds onder leiding van Alexandre Guimarães."
